Title,Document Name,Ark Identifier,July,August,September,Total
"Institute for Continued Learning records",owsmss038.xml,80444/xv23803,2,0,0,2
"Unknown",owsmss029.xml,80444/xv20101,2,0,0,2
"Leslie Sparks Willamette Students World War II Correspondence collection",owsmss086.xml,80444/xv38879,0,1,0,1
"John Thayer Casey papers",owsmss085.xml,80444/xv22293,0,1,0,1
"Office of the Chaplains records",owsmss042.xml,80444/xv31018,0,1,0,1
"Tokyo International University Willamette gifts collection",owsmss075.xml,80444/xv15524,1,0,0,1
"Willamette University Registrar records",owsmss094.xml,80444/xv33731,0,0,0,0
"Willamette University Medical Department records",owsmss057.xml,80444/xv75952,0,0,0,0
"Robert E. Hawkinson papers",owsmss041.xml,80444/xv39553,0,0,0,0
"Edwin A. Sherwood “Land of the Rhine” Lantern Slides and Lecture Notes collection",owsmss021.xml,80444/xv40536,0,0,0,0
"Unknown",owsmss043.xml,80444/xv70816,0,0,0,0
,,Totals,448,364,435,1247
