Title,Document Name,Ark Identifier,July,August,September,Total
"Daughters of Utah Pioneers, Phillips Camp biographies",uum_accn1439.xml,80444/xv20547,17,23,23,63
"Native American oral histories audio recordings",uum_a0874.xml,80444/xv00604,13,23,26,62
"Joe Hill photograph collection",uum_p0427.xml,80444/xv97778,27,9,26,62
"Jonathan Coleman photograph collection",uum_p0530.xml,80444/xv55798,15,30,17,62
"Alton Crane Melville family home movies",uum_a0655.xml,80444/xv73236,29,7,24,60
"Norman D. and Doris Nevills photograph collection",uum_p0341.xml,80444/xv17126,18,20,22,60
"Alvin L. Gittins photograph collection",uum_p0319.xml,80444/xv19924,23,22,15,60
"Melissa Jane Caldwell Adams family papers",uum_ms0082.xml,80444/xv75906,27,20,12,59
"Salt Lake City, Utah photograph collection",uum_p0251.xml,80444/xv68270,24,19,16,59
"Melvin A. Cook papers",uum_ms0658.xml,80444/xv56417,18,24,16,58
"Henry Eyring papers",uum_ms0008.xml,80444/xv56402,23,17,18,58
"David C. Evans papers",uum_ms0625.xml,80444/xv18380,20,20,17,57
"Ramona Wilcox Cannon papers",uum_accn1862.xml,80444/xv88702,19,21,16,56
"David Oman McKay papers",uum_ms0668.xml,80444/xv89685,17,19,19,55
"Rudger Clawson papers",uum_ms0481.xml,80444/xv59097,21,19,15,55
"A. Russell Mortensen papers",uum_ms0201.xml,80444/xv41024,25,18,11,54
"George S. Tanner papers",uum_accn1361.xml,80444/xv55130,15,12,27,54
"University of Utah Alumni Association records",uum_acc0437.xml,80444/xv12820,28,12,14,54
"Mike M. Masaoka papers",uum_ms0656.xml,80444/xv25720,19,12,23,54
"Shirley E. Blackmer and R. Lloyd Tyler family papers",uum_accn2871.xml,80444/xv63009,3,46,5,54
"Taylor A. Woolley papers",uum_ms0452.xml,80444/xv65252,16,7,31,54
"Stephen David Durrant papers",uum_acc0214.xml,80444/xv15304,15,31,8,54
"Interviews with Blacks in Utah",uum_ms0453.xml,80444/xv24758,17,13,24,54
"Wilbur H. Smith papers",uum_ms0563.xml,80444/xv22250,3,10,40,53
"Ammon Hennacy papers",uum_ms0555.xml,80444/xv79608,15,16,22,53
"Blair Dean Utah natural bodybuilding video collection",uum_a0077.xml,80444/xv99673,21,14,18,53
"Don Gale KSL editorial video collection",uum_a1055.xml,80444/xv26831,14,18,21,53
"Francis Armstrong family papers",uum_accn1795.xml,80444/xv71011,18,20,15,53
"Ute Indian oral history project collection",uum_accn0853.xml,80444/xv59539,14,11,27,52
"Marriner S. Eccles papers",uum_ms0178.xml,80444/xv88424,19,19,14,52
"Tesuque Pueblo oral history project",uum_accn2200.xml,80444/xv73449,17,19,16,52
"Earl Douglass papers",uum_ms0196.xml,80444/xv14910,12,20,20,52
"Utah Ski Archives Annual Banquet Photograph Archives",uum_p0397.xml,80444/xv22817,24,18,10,52
"Wallace Earle Stegner photograph collection",uum_p0561.xml,80444/xv35256,18,17,16,51
"James T. Harwood photograph collection",uum_p0117.xml,80444/xv53634,18,17,16,51
"Green River, Utah photograph collection",uum_p0077.xml,80444/xv79364,11,17,23,51
"Camp Kearns records",uum_accn1126.xml,80444/xv01785,26,11,14,51
"Karsten Hansen architectural landscape drawings",uum_accn1728.xml,80444/xv33462,20,19,12,51
"Golden Spike oral history project",uum_ms0095.xml,80444/xv31866,20,20,10,50
"University of Utah football video collection",uum_a0319.xml,80444/xv56124,21,7,22,50
"First Unitarian Church of Salt Lake City records",uum_ms0508.xml,80444/xv38778,13,22,14,49
"Edward Abbey audio collection",uum_a0779.xml,80444/xv41323,28,7,14,49
