Title,Document Name,Ark Identifier,July,August,September,Total
"First Presbyterian Church (Waitsburg, Wash.) Records",wtv5.xml,80444/xv66692,5,0,1,6
"Mission Avenue Presbyterian Church (Spokane, WA) Records",wtv83.xml,80444/xv83117,1,5,0,6
"Whitworth College Pre-nursing Program Records",wtv17.xml,80444/xv81056,6,0,0,6
"Calbreath (Donald F.) Papers",wtv117.xml,80444/xv69100,4,1,1,6
"John Yoder Papers",wtv54.xml,80444/xv31477,0,4,2,6
"Porterfield (Robert E.) Papers",wtv37.xml,80444/xv02396,1,1,4,6
"Building and Building Dedication Records",wtv116.xml,80444/xv04807,3,1,2,6
"St. Michael's Anglican Church Records",wtv113.xml,80444/xv77654,2,0,4,6
"James Hunt Papers",wtv53.xml,80444/xv98849,3,0,2,5
"Leonard Oakland Papers",wtv57.xml,80444/xv30107,2,1,2,5
"Centennial Promotional Film Records",wtvz4.xml,80444/xv59002,4,0,1,5
"Alfred O. Gray Papers",wtv72.xml,80444/xv21900,1,1,3,5
"Presbyterian Women of the Synod of Alaska/Northwest Records",wtv94.xml,80444/xv43787,4,0,1,5
"Office of College Communications, <emph render="italic">Whitworth Today</emph> Records",wtv121.xml,80444/xv20195,4,0,1,5
"Baccalaureate Bulletins",wtv52.xml,80444/xv66018,2,0,3,5
"American Academy of Religion/Society of Biblical Literature: Pacific Northwest Region Records",wtvaarsbl.xml,80444/xv35711,0,2,3,5
"Conference Services Records",wtv68.xml,80444/xv90983,2,0,3,5
"Buildings and Building Dedications Collection",wtva126.xml,80444/xv62063,2,3,0,5
"Sharon L. Parks Papers",wtv58.xml,80444/xv62941,0,0,5,5
"Whitworth College Faculty Meeting Records",wtv20.xml,80444/xv11972,4,1,0,5
"Salem Lutheran Church (Spokane, Wash.) Records",wtv30.xml,80444/xv73190,2,2,1,5
"Academic Programs: Pre-Nursing Program Records",wtv104.xml,80444/xv71833,4,0,0,4
"Spokane Christian Coalition Records",wtv99.xml,80444/xv07536,1,0,3,4
"Arend (Albert K.) Papers",wtvn6a.xml,80444/xv02587,2,2,0,4
"Gotts (Edward E.) Papers",wtvj15g.xml,80444/xv07928,1,0,3,4
"Hamblen Park Presbyterian Church (Spokane, WA) Records",wtv79.xml,80444/xv51654,2,1,1,4
"Lindaman Center Records",wtv118.xml,80444/xv34560,0,0,4,4
"First Methodist Church (Waitsburg, Wash.) Records",wtv4.xml,80444/xv01028,2,0,2,4
