Title,Document Name,Ark Identifier,July,August,September,Total
"Galata Lutheran Church, Galata, Montana, Records",opvelca7a3_85.xml,80444/xv86846,8,1,1,10
"First Lutheran Church, Bothell, Washington, Records",opvelca7a5_269.xml,80444/xv44042,10,0,0,10
"Christ the King Lutheran Church, Tigard, Oregon, Records",opvelca7a4_245.xml,80444/xv89984,8,2,0,10
"First English Lutheran Church, Great Falls, Montana, Records",opvelca7a3_89.xml,80444/xv87667,6,2,2,10
"Redeemer Lutheran Church, Livingston, Montana, Records",opvelca7a3_113.xml,80444/xv62048,3,3,4,10
"Zoar Lutheran Church, Canby, Oregon, Records",opvelca7a4_161.xml,80444/xv17770,3,2,5,10
"Camano Lutheran Church, Camano Island, Washington, Records",opvelca7a5_277.xml,80444/xv70446,5,3,2,10
"First Lutheran Church Records",opvelca7a5_349.xml,80444/xv83853,9,0,1,10
"Christ Lutheran Church, Lakewood, Washington, Records",opvelca7a5_324.xml,80444/xv74926,10,0,0,10
"Our Saviour's Lutheran Church, Cathlamet, Washington, Records",opvelca7a5_279.xml,80444/xv82623,10,0,0,10
"Rydjord (Olaf) Papers",opvsiemss15.xml,80444/xv23059,0,5,5,10
"Holy Spirit Lutheran Church, Kirkland, Washington, Records",opvelca7a5_317.xml,80444/xv30993,1,7,2,10
"First Lutheran Church, Glasgow, Montana, Records",opvelca7a3_86.xml,80444/xv76745,2,2,6,10
"Anderson Bertha (Josephsen) Autobiography",opvsiemss_2.xml,80444/xv07385,6,0,4,10
"Bethany Lutheran Church, Seattle, Washington, Records",opvelca7a5_369.xml,80444/xv49172,5,3,2,10
"Ascension Lutheran Church",opvelca7_11.xml,80444/xv84147,5,4,0,9
"Xavier (Johan Ulrik) Papers",opvarchrg2.4.xml,80444/xv53570,0,8,1,9
"Campus Ministry Records",opvarch1_20.xml,80444/xv11986,2,5,2,9
"First Lutheran Church Records",opvelca7a5_288.xml,80444/xv00323,6,0,3,9
"First Lutheran Church of West Seattle, Seattle, Washington, Records",opvelca7a5_375.xml,80444/xv80471,8,0,1,9
"Muri (Christian J.)Autobiography",opvsiemss_21.xml,80444/xv76052,9,0,0,9
"Central Lutheran Church, Portland, Oregon, Records",opvelca7a4_212.xml,80444/xv96563,5,2,2,9
"Gethsemane Lutheran Church",opvelca7_20.xml,80444/xv91672,4,1,4,9
"Johnson (John August) Papers",opvsiemss_1.xml,80444/xv48921,3,2,4,9
"Peace Lutheran Church, Portland, Oregon, Records",opvelca7a4_220.xml,80444/xv64239,4,0,5,9
"Zion Lutheran Church, Oregon City, Oregon, Records",opvelca7a4_206.xml,80444/xv56008,7,2,0,9
"Elim Lutheran Church, Port Orchard, Washington, Records",opvelca7a5_352.xml,80444/xv18917,8,1,0,9
"St. Peter Lutheran Church, Tillamook, Oregon, Records",opvelca7a4_246.xml,80444/xv60153,1,0,8,9
"Danielson (William N.) Collection",opvsiemss_37.xml,80444/xv69992,7,2,0,9
"Celebration Lutheran Church, Puyallup, Washington, Records",opvelca7a5_358.xml,80444/xv29586,9,0,0,9
"Guide to the Magnar Strand Biography",opvsiemss_5.xml,80444/xv01144,3,2,4,9
"Ascension Lutheran Church, Orofino, Idaho, Records",opvelca7a2_48.xml,80444/xv49969,2,2,5,9
"Brodin Family History",opvsiemss_8.xml,80444/xv78982,3,3,3,9
"Emmanuel Lutheran Church, Tacoma, Washington, Records",opvelca7a5_412.xml,80444/xv76403,0,3,6,9
"St. Luke Lutheran Church, Portland, Oregon, Records",opvelca7a4_225.xml,80444/xv48962,8,1,0,9
"Ascension Lutheran Church, Medford, Oregon, Records",opvelca7a4_197.xml,80444/xv49057,3,5,0,8
"Good Shepherd Lutheran Church, Eugene, Oregon, Records",opvelca7a4_175.xml,80444/xv89822,8,0,0,8
"Saint Paul Lutheran Church, Kodiak, Alaska, Records",opvelca7a1_12.xml,80444/xv32995,1,4,3,8
"Vashon Lutheran Church, Vashon, Washington, Records",opvelca7a5_427.xml,80444/xv33050,1,1,6,8
"Luther Memorial Lutheran Church, Portland, Oregon, Records",opvelca7a4_217.xml,80444/xv65847,1,6,1,8
"Lakeridge Lutheran Church, Seattle, Washington, Records",opvelca7a5_379.xml,80444/xv51794,8,0,0,8
"St. Stephen Lutheran Church, Gladstone, Oregon, Records",opvelca7a4_180.xml,80444/xv14465,8,0,0,8
"Faith Lutheran Church, Leavenworth, Washington, Records",opvelca7a5_325.xml,80444/xv19049,7,0,1,8
"Georg Pederson Papers--the Pederson Saga",opvsiemss_28.xml,80444/xv01446,3,1,4,8
"Jens Fredericksen Svinth Autobiography",opvsiemss_119.xml,80444/xv42266,0,4,4,8
"St. John's Lutheran Church, American Falls, Idaho, Records",opvelca7a2_23.xml,80444/xv36175,4,0,4,8
"Springfield Lutheran Church, Springfield, Oregon, Records",opvelca7a4_242.xml,80444/xv24942,3,5,0,8
"Gold Hill Lutheran Church, Butte, Montana, Records",opvelca7a3_74.xml,80444/xv59661,2,2,4,8
"American Lutheran Church, Turner, Montana, Records",opvelca7a3_138.xml,80444/xv24337,2,0,6,8
"Faith Lutheran Church, Kamiah, Idaho, Records",opvelca7a2_40.xml,80444/xv60000,3,2,3,8
"Baalson Centennial",opvsiemss_17.xml,80444/xv78628,3,0,5,8
"First Lutheran Church, Havre, Montana, Records",opvelca7a3_97.xml,80444/xv22787,1,0,7,8
"Trinity Lutheran Church, Enumclaw, Washington, Records",opvelca7a5_292.xml,80444/xv15158,1,2,5,8
"Hefte Family History",opvsiemss_92.xml,80444/xv78585,1,2,5,8
"Grace Lutheran Church, Corvallis, Oregon, Records",opvelca7a4_169.xml,80444/xv38562,7,0,1,8
"Epiphany Lutheran Church, Valdez, Alaska, Records",opvelca7a1_21.xml,80444/xv38742,7,0,1,8
"Gabriel Aanensen Fedde Autobiography",opvsiemss_127.xml,80444/xv97003,0,2,6,8
"Our Saviour's Lutheran Church, Eugene, Oregon, Records",opvelca7a4_177.xml,80444/xv25109,5,0,3,8
"Bethlehem Lutheran Church, Sedro Wooley, Washington, Records",opvelca7a5_389.xml,80444/xv29553,3,0,4,7
"Grace First Lutheran Church, Bend, Oregon, Records",opvelca7a4_442.xml,80444/xv04833,0,2,5,7
"Cameron Emmanuel Lutheran Church, Kendrick, Idaho, Records",opvelca7a2_41.xml,80444/xv12149,1,1,5,7
"Lemkin (Essay Awards) Collection",opvarch24.8.xml,80444/xv57305,2,3,2,7
"St. John's Lutheran Church, Bellingham, Washington, Records",opvelca7a5_268.xml,80444/xv69110,3,1,3,7
"Gideon Evangelical Lutheran Church, Connell, Washington, Records",opvelca7a5_285.xml,80444/xv87423,7,0,0,7
"St. Luke's American Lutheran Church, Shelby, Montana, Records",opvelca7a3_438.xml,80444/xv89648,1,5,1,7
"Local Histories: Franklin County, Washington (State)",opvnpc1_9.xml,80444/xv29086,7,0,0,7
"Our Redeemer's Lutheran Church, Seattle, Washington, Records",opvelca7a5_383.xml,80444/xv02978,2,2,3,7
"Milwaukie Lutheran Church, Milwaukie, Oregon, Records",opvelca7a4_201.xml,80444/xv16354,0,4,3,7
"Frahm (Frederick) Papers",opvarch6_5.xml,80444/xv31475,3,0,4,7
"Messiah Lutheran Church, Vancouver, Washington, Records",opvelca7a5_424.xml,80444/xv01135,4,0,3,7
"St. Matthew Lutheran Church, Beaverton, Oregon, Records",opvelca7a4_155.xml,80444/xv94973,2,3,2,7
"Trinity Lutheran Church, Lynnwood, Washington, Records",opvelca7a5_331.xml,80444/xv92614,0,0,7,7
"Christ Lutheran Church, Soldotna, Alaska, Records",opvelca7a1_20.xml,80444/xv71081,3,3,1,7
"Pilgrim Lutheran Church Records",opvelca7a5_347.xml,80444/xv90859,6,0,1,7
"Faith Lutheran Church, Albany, Oregon, Records",opvelca7a4_145.xml,80444/xv57662,6,0,1,7
"Columbia College Records",opvarch1_1.xml,80444/xv86884,0,5,2,7
"Lutheran Church of the Master, Pasco, Washington, Records",opvelca7a5_350.xml,80444/xv12014,5,0,2,7
"Messiah Lutheran Church, Red Lodge, Montana, Records",opvelca7a3_439.xml,80444/xv58660,2,5,0,7
"Emanuel Lutheran Church, Cornelius, Oregon, Records",opvelca7a4_168.xml,80444/xv66171,2,1,4,7
"Malta Lutheran Church, Malta, Montana, Records",opvelca7a3_114.xml,80444/xv68368,6,1,0,7
"St. John's Lutheran Church, Great Falls, Montana, Records",opvelca7a3_92.xml,80444/xv77847,7,0,0,7
"Christ the King Lutheran Church, Bozeman, Montana, Records",opvelca7a3_69.xml,80444/xv60470,0,0,7,7
"St. Mark Lutheran Church, Hayden Lake, Idaho, Records",opvelca7a2_36.xml,80444/xv74511,0,0,6,6
"St. Paul Lutheran Church, Ontario, Oregon, Records",opvelca7a4_447.xml,80444/xv43258,1,0,5,6
"Hitler-Jugend, Bildband für die Schulung, records",opvarch6_4_3.xml,80444/xv83806,0,3,3,6
"Guide to the Wilbur Lutheran Church, Wilbur, Washington, Records <date encodinganalog="date" era="ce" calendar="gregorian" normal="1967/2012">1967-2012</date>",opvelca7a5_432.xml,80444/xv90270,0,1,5,6
"Good Shepherd Lutheran Church, Madras, Oregon, Records",opvelca7a4_196.xml,80444/xv71356,3,3,0,6
"West Linn Lutheran Church, West Linn, Oregon, Records",opvelca7a4_249.xml,80444/xv45578,1,4,1,6
"King of Kings Lutheran Church Records",opvelca7_9.xml,80444/xv13698,0,1,5,6
"Our Saviour's Lutheran Church, Box Elder, Montana, Records",opvelca7a3_68.xml,80444/xv77789,5,1,0,6
"Emmanuel Lutheran Church, Shepherd, Montana, Records",opvelca7a3_132.xml,80444/xv53890,4,0,2,6
"King of Glory Lutheran Church, Boise, Idaho, Records",opvelca7a2_25.xml,80444/xv02764,0,0,6,6
"Tree of Life Lutheran Church in Terrace Heights, Yakima, Washington, Records",opvelca7a5_436.xml,80444/xv45431,2,3,1,6
"Northlake Lutheran Church, Kenmore, Washington, Records",opvelca7a5_312.xml,80444/xv48980,5,0,1,6
"Hong, Nils Joseph Records",opvarchrg2.3.xml,80444/xv55987,3,2,1,6
"Holy Trinity Lutheran Church, Ephrata, Washington, Records",opvelca7a5_293.xml,80444/xv64620,0,0,6,6
"Resurrection Lutheran Church, Juneau, Alaska, Records",opvelca7a1_16.xml,80444/xv43881,1,2,3,6
"Browning (Christopher R. Papers)",opvarchrg6.4.2.xml,80444/xv90856,4,0,2,6
"Fir Lawn Lutheran Church, Sweet Home, Oregon, Records",opvelca7a4_244.xml,80444/xv52368,1,0,5,6
"Our Saviour's Lutheran Church, Lebanon, Oregon, Records",opvelca7a4_194.xml,80444/xv27447,3,2,1,6
"Our Redeemer Lutheran Church, Nashua, Montana, Records",opvelca7a3_122.xml,80444/xv60287,0,2,4,6
"Prince of Peace Lutheran Church, Shoreline, Washington, Records",opvelca7a5_386.xml,80444/xv12344,4,0,2,6
"Redeemer Lutheran Church, Boise, Idaho, Records",opvelca7a2_26.xml,80444/xv14611,6,0,0,6
"Calvary Lutheran Church, Grants Pass, Oregon, Records",opvelca7a4_182.xml,80444/xv74032,3,0,3,6
"Zion Lutheran Church, Port Orford, Oregon, Records",opvelca7a4_228.xml,80444/xv57348,1,3,2,6
"First Lutheran Church, Savage, Montana, Records",opvelca7a3_130.xml,80444/xv81921,2,0,4,6
"St. John Lutheran Church, Sprague, Washington, Records",opvelca7a5_405.xml,80444/xv22888,0,0,6,6
"Shepherd of the Valley Lutheran Church, Maple Valley, Washington, Records",opvelca7a5_332.xml,80444/xv42230,6,0,0,6
"Trinity Lutheran Church, McMinnville, Oregon, Records",opvelca7a4_195.xml,80444/xv68353,1,1,4,6
"Devon Lutheran Church, Devon, Montana, Records",opvelca7a3_80.xml,80444/xv76550,4,0,2,6
"Johan Mattson and Family",opvsiemss_14.xml,80444/xv15701,1,1,4,6
"Christ Lutheran Church, Goldendale, Washington, Records",opvelca7a5_452.xml,80444/xv70489,0,0,6,6
"Pacific Lutheran University Honorary Doctorates and Awards Collection",opvarch_26.xml,80444/xv21401,1,2,3,6
"Bethany Lutheran Church, Portland, Oregon, Records",opvelca7a4_209.xml,80444/xv17385,5,0,1,6
"Gloria Dei Lutheran Church, Coos Bay, Oregon, Records",opvelca7a4_166.xml,80444/xv85751,2,0,4,6
"Hope Lutheran Church, Lynden, Washington, Records",opvelca7a5_330.xml,80444/xv92544,4,0,2,6
