Title,Document Name,Ark Identifier,July,August,September,Total
"Dunn (Katherine) Collection",olpb033dun.xml,80444/xv17681,3,7,3,13
"Stafford (William E.) Archives Series 8, Sub-Series 2: Books with contributions by Stafford",olpb107sta.xml,80444/xv56744,9,0,3,12
"Lewis and Clark Expedition Government Documents Collection",olpb146lcd.xml,80444/xv31716,8,1,3,12
"Gale (Vi) papers",olpb034gal.xml,80444/xv57040,3,6,3,12
"McCabe (Francis R.) Oregon Wild Flower Notebook&gt;",olpb074mcc.xml,80444/xv02145,6,5,1,12
"Jefferson's Western Explorations Editorial Files",olpb063jef.xml,80444/xv56863,3,4,5,12
"Condit (Elbert Neal) Administrative Records of Albany College",olpa067con.xml,80444/xv73208,3,5,4,12
"Montague (Martha Frances) Scrapbooks",olpa144mon.xml,80444/xv70193,10,2,0,12
"Thaxter (Benjamin A.) Administrative Records of Albany College",olpa092tha.xml,80444/xv55004,9,2,0,11
"Dickens (Charles) Collection",olpb136dic.xml,80444/xv53854,4,3,4,11
"Stafford (William E.) Archives, Series 1, Sub-Series 2: Travel Journals",olpb105sta.xml,80444/xv92858,5,3,3,11
"Lewis & Clark College Special Collections Publications Collection",olpb043ber.xml,80444/xv18945,4,3,4,11
"TTTD Video Productions Collection of Vince Wixon and Mike Markee",olpb021wix.xml,80444/xv48923,1,9,1,11
"Stafford (William E.) Archives Series 8, Sub-Series 3: Periodicals with contributions by Stafford in English",olpb108sta.xml,80444/xv60607,7,3,1,11
"Merchant (Paul) Collection",olpb042mer.xml,80444/xv59060,2,4,5,11
"Markham (Edwin) Collection",olpb018mar.xml,80444/xv47896,9,1,1,11
"Stafford (William E.) Archives Series 8, Sub-Series 6: Criticism of Stafford's Writings",olpb124sta.xml,80444/xv61160,6,2,3,11
"Stafford (William E.) Archives, Series 4, Sub-Series 1: Negatives of Photographs by William Stafford",olpb106sta.xml,80444/xv21301,4,2,4,10
"Mitchell v. U.S. court records",olpb024mit.xml,80444/xv85177,4,2,4,10
"Department of Justice File on Dr. Marie D. Equi",olpb004equ.xml,80444/xv37971,2,4,4,10
"Coffield (Glen) Collection",olpb132cof.xml,80444/xv29583,4,3,3,10
"Watzek (Aubrey R.) Collection",olpb058wat.xml,80444/xv91815,0,4,6,10
"Pallack (Ken) Collection of Karl Marlantes Materials",olpb053pal.xml,80444/xv97439,5,0,4,9
"Gilkey (Gordon) Print Collection",olpb095gil.xml,80444/xv17922,4,3,2,9
"McMillan (John) Diaries",olpb073mcm.xml,80444/xv99044,2,2,5,9
"Diaries of Marion Harriet Crable Bennett and Marion Hope Bennett",olpb049ben.xml,80444/xv07089,6,3,0,9
"Crooks (Harry Means) Administrative Records of Albany College",olpa069cro.xml,80444/xv32940,3,5,1,9
"Japanese American Photo Album",olpb143iss.xml,80444/xv52423,3,2,3,8
"History of the Book: Leaf Collection",olpb075lea.xml,80444/xv36483,4,0,4,8
"Swan (James G.) Collection",olpb153swa.xml,80444/xv35336,5,2,1,8
"International Whaling Commission: Patricia Forkan Collection",olpc051iwc.xml,80444/xv65133,3,1,4,8
"Esta, (Albert Joseph) Collection",olpb025est.xml,80444/xv72524,0,4,4,8
"Emmons (Della Gould) Collection",olpb088emm.xml,80444/xv32275,1,4,3,8
"Montieth (William J.) Administrative Records of Albany College",olpa065mon.xml,80444/xv41415,1,6,1,8
"Olin (Bertel J.) Collection",olpb150oli.xml,80444/xv11553,6,1,1,8
"Lee (Wallace Howe) Administrative Records of Albany College",olpa068lee.xml,80444/xv95123,5,3,0,8
"Stafford (William E.) Archives Series 7, Sub-Series 1: Artifacts Owned by Stafford",olpb119sta.xml,80444/xv89321,4,0,4,8
"Five Seasons Press Collection",olpb085fiv.xml,80444/xv60458,3,3,2,8
"Hart (Edna Ruddick) Correspondence",olpb015har.xml,80444/xv28405,6,0,1,7
"Literature of the Lewis and Clark Expedition (Editorial Files)",olpb064lit.xml,80444/xv86502,1,0,6,7
"Pacific Northwest Postcard Collection",olpb062pos.xml,80444/xv51669,4,0,3,7
"Stafford (William E.) Archives Series 3, Sub-Series 5: Condolence Letters",olpb145sta.xml,80444/xv07644,4,2,1,7
"Petersen (Paulann) Collection",olpb147pet.xml,80444/xv72406,1,2,4,7
"Stafford (William E.) Archives Series 2, Sub-Series 1: Appointment Books",olpb110sta.xml,80444/xv45779,3,3,1,7
"Phelps (J.C.) Collection",olpb157jcp.xml,80444/xv76974,3,2,2,7
"Stafford (William E.) Archives Series 9, Sub-Series 2: Civilian Public Service Subject Files",olpb123sta.xml,80444/xv66592,1,5,1,7
"Oregon Poetic Voices Project Archives",olpb141opv.xml,80444/xv46066,1,6,0,7
"Wallace (Charles Lewis) Collection",olpb081wal.xml,80444/xv61041,2,2,3,7
"Skarsten (M. O.) Publication Files for George Drouillard",olpb012ska.xml,80444/xv50629,2,2,3,7
"Civilian Public Service Camp 56 Oral History Project Records",olpb045usf.xml,80444/xv16964,1,1,4,6
"Stafford (William E.) Archives Series 8, Sub-Series 4: Broadsides Featuring Stafford",olpb120sta.xml,80444/xv36929,3,2,1,6
"Wood (Charles Erskine Scott) Sketchbook",olpb057woo.xml,80444/xv82659,1,2,3,6
"Faulconer (Tracy) Collection",olpb044fau.xml,80444/xv85974,0,0,6,6
"Erodelphian Society Collection",olpa079ero.xml,80444/xv32748,0,2,4,6
"Adair (Benjamin) Account Book",olpb046ada.xml,80444/xv67312,1,0,4,5
"Sempert (Dean A.) Collection",olpa135sem.xml,80444/xv04525,0,2,3,5
"Lampman (Ben Hur) Collection",olpb061lam.xml,80444/xv85870,4,1,0,5
"Glarum, (L. Stanley) Archives",olpb052gla.xml,80444/xv23992,0,2,3,5
"Rougemont Press Collection",olpb086rou.xml,80444/xv23440,5,0,0,5
"Stoner (Elva E.) Herbarium",olpb151sto.xml,80444/xv57196,5,0,0,5
"Deale (Henry Vail) Papers",olpb007dea.xml,80444/xv91326,2,2,1,5
