Title,Document Name,Ark Identifier,July,August,September,Total
"Freeman (Otis) Papers",wea_spc9880293.xml,80444/xv27526,0,0,2,2
"Spokane Community Action Council Records",wea_spc9740015.xml,80444/xv64785,0,2,0,2
"Ames (Lawrence) Photograph Collection",wea_spc9740018.xml,80444/xv27114,0,2,0,2
"American Aid to France, Spokane Unit Records",wea_spc9900319.xml,80444/xv64779,2,0,0,2
"Eells (Cushing) Papers",wea_spc9970480.xml,80444/xv09417,2,0,0,2
"Thur (Vincent) Papers",wea_spc9900329.xml,80444/xv70269,0,1,1,2
"Yates (Keith) Manuscript",wea_spc9970461.xml,80444/xv43807,0,2,0,2
"Lehman (Arthur Philip) Papers",wea_spc9970477.xml,80444/xv85281,2,0,0,2
"Oral History Interview with Donald Rose",wea_spc9800108.xml,80444/xv43725,0,2,0,2
"Oral History Interview with Mrs. Joseph W. Strong",wea_spc9800106.xml,80444/xv00598,0,2,0,2
"Salnave (Cora) Diary",wea_spc9770036.xml,80444/xv25390,0,1,0,1
"Collection on George Washington",wea_spc9780063.xml,80444/xv20220,1,0,0,1
"Smith (Grant W.) Papers",wea_spc9810140.xml,80444/xv52856,0,1,0,1
"Baughman (Marge) Memorabilia Collection",wea_spc9760033.xml,80444/xv99017,0,1,0,1
"Smalley (Eugene V.) Papers",wea_spc9970472.xml,80444/xv71334,1,0,0,1
"Asan (Virginia) Papers",wea_spc9830188.xml,80444/xv64184,0,1,0,1
"Henderson (Anne M.) Papers",wea_spc9970466.xml,80444/xv54415,0,1,0,1
"Spokane International Railroad Records",wea_spc9910347.xml,80444/xv21710,0,0,1,1
"Philips (Nancy Kate Broadnax) Papers",wea_spc9780049.xml,80444/xv20349,0,1,0,1
"McMillan (Alice) Papers",wea_spc9970462.xml,80444/xv00381,0,1,0,1
"Women of Washington Collection on Women's Rights",wea_spc9800133.xml,80444/xv45837,0,0,1,1
"Hayward (Elva) Photograph Collection",wea_spc9770045.xml,80444/xv63729,0,1,0,1
"Bunting (David G.) Testimony and Research Data",wea_spc9780050.xml,80444/xv64978,0,1,0,1
"Walker (William) Papers",wea_spc9970474.xml,80444/xv30392,1,0,0,1
"Ames (Susan Blackwell) Papers",wea_spc9800118.xml,80444/xv18914,0,1,0,1
"Dickelman (Evelyn A.) Class Paper",wea_spc9780058.xml,80444/xv44226,0,1,0,1
"Tieje (Ralph Earl) Papers",wea_spc9780052.xml,80444/xv85018,0,1,0,1
"Pence (Omar) Annotated Copy of the Arrow",wea_spc9780051.xml,80444/xv55899,0,1,0,1
"Rosebush (Waldo Emerson) Papers",wea_spc9970471.xml,80444/xv82711,1,0,0,1
"Graham (Thomas) Papers",wea_spc9970443.xml,80444/xv50616,0,1,0,1
"Colored Men's Business League Minute Book",wea_spc9790097.xml,80444/xv90316,0,0,0,0
"Davis (Homer M.) Reminiscences",wea_spc9950396.xml,80444/xv86019,0,0,0,0
"Whitehill (Patrick) Papers",wea_spc9830187.xml,80444/xv57946,0,0,0,0
"Gravel (Alex) Interview Transcripts",wea_spc9800132.xml,80444/xv16131,0,0,0,0
"Cheney State Normal School Department of Physical Education Scrapbook",wea_spc9810156.xml,80444/xv90661,0,0,0,0
"Moretz (Fred) Papers",wea_spc9750024.xml,80444/xv76855,0,0,0,0
"Suzanne Metzler History of the Cheney United Methodist Church's Pipe Organ",wea_spc9840216.xml,80444/xv28671,0,0,0,0
"Stosolovich (Linda) Papers",wea_spc9780070.xml,80444/xv78851,0,0,0,0
"Citizens State Bank of Tekoa Records",wea_spc9810138.xml,80444/xv93801,0,0,0,0
"Thomason (Edith P.) Papers",wea_spc9950374.xml,80444/xv67123,0,0,0,0
"Moynahan (James) Papers",wea_spc9810150.xml,80444/xv05844,0,0,0,0
"Bash (Cullen) Papers",wea_spc9970436.xml,80444/xv49493,0,0,0,0
"Eastern Washington University Instructional Media Center Records",wea_spc9810153.xml,80444/xv29461,0,0,0,0
"Gardner (Geraldine) Interview and Photograph",wea_spc9780071.xml,80444/xv13638,0,0,0,0
"Saylor (V. Louise) Collection on Women's Studies Symposium at Eastern Washington University",wea_spc9790086.xml,80444/xv44308,0,0,0,0
"Buchanan (Julian E.) Sheet Music and Ballad Collection",wea_spc9820162.xml,80444/xv45053,0,0,0,0
"Wyer (Arthur E.) Papers",wea_spc9870269.xml,80444/xv67471,0,0,0,0
"Kreitz (Mabel) Papers",wea_spc9970447.xml,80444/xv89999,0,0,0,0
"Rice (Michael) Papers",wea_spc9960413.xml,80444/xv72109,0,0,0,0
"Clark (Helen) Collection",wea_spc9790083.xml,80444/xv18246,0,0,0,0
"Lutheran Council of Greater Spokane County Records",wea_spc9870266.xml,80444/xv37670,0,0,0,0
"Schmidt (Norma) Term Paper",wea_spc9850232.xml,80444/xv59121,0,0,0,0
"Leichner (Robert M.) Term Paper",wea_spc9850231.xml,80444/xv09774,0,0,0,0
"Rosenberg-Dishman (Marie B.) Papers",wea_spc9900321.xml,80444/xv54684,0,0,0,0
"Wigen (Barbara) Papers",wea_spc9960409.xml,80444/xv15841,0,0,0,0
