Title,Document Name,Ark Identifier,July,August,September,Total
"Josephine County, Oregon Assessment Roll",oru_b101.xml,80444/xv36621,8,0,1,9
"U.S. District Court, Oregon. Commissioner's record book",oru_b123.xml,80444/xv34951,0,2,7,9
"Department of Linguistics records",oru_ua060.xml,80444/xv20553,0,5,4,9
"Fowler Street houses photographs",oru_ph200_058.xml,80444/xv00359,8,1,0,9
"Abell (Ron) Memoir on Wayne Morse 1968 Re-election",oru_sfm242.xml,80444/xv33996,7,2,0,9
"Sanford J. Greenburger Literary Agency records",oru_ax801.xml,80444/xv97085,0,2,7,9
"Lloyd (William W.) Reminiscences",oru_sfm133.xml,80444/xv22581,2,3,4,9
"MEChA Mujeres records",oru_ua080.xml,80444/xv22793,0,5,4,9
""Mack" letter to "Dear Sister"",oru_ca1863feb22.xml,80444/xv01623,7,0,2,9
"Downs (Darley) Papers",oru_coll111.xml,80444/xv27711,2,5,2,9
"Howard (Elizabeth) Literary Manuscripts",oru_ax663.xml,80444/xv37974,3,6,0,9
"LaDuke (Winona) papers",oru_coll372.xml,80444/xv73406,0,4,5,9
"Commencement records",oru_ua127.xml,80444/xv83819,0,5,4,9
"Fort Yamhill letterpress copy book",oru_b078.xml,80444/xv92727,7,1,1,9
"William McCash Research Collection Relating to his book, Bombs Over Brookings (2005)",oru_coll308.xml,80444/xv36954,5,0,4,9
"Comparative Literature Program records",oru_ua155.xml,80444/xv65823,0,5,4,9
"Greene (Thomas G.) papers",oru_ax254.xml,80444/xv11520,1,3,5,9
"West Coast Mines Company Records",oru_b134.xml,80444/xv45153,2,3,4,9
"Oregon Industrial Accident Commission records",oru_bx060.xml,80444/xv23184,7,0,2,9
"Department of Women's and Gender Studies records",oru_ua121.xml,80444/xv26330,0,5,4,9
"Half Century Club records",oru_ua091.xml,80444/xv85760,0,5,4,9
"Morris (Wistar) letter to Aaron E. Wait",oru_ca1894july31.xml,80444/xv94650,8,1,0,9
"Oregon Marching Band records",oru_ua192.xml,80444/xv64480,3,3,3,9
"O'Connor (Hugh) papers",oru_ax620.xml,80444/xv65631,1,6,2,9
"U.S. District Court documents regarding the Whitman Massacre trial",oru_b121.xml,80444/xv01110,6,0,3,9
"Burkes (DeWitt C.) papers",oru_ax106.xml,80444/xv15682,4,3,2,9
"Johnson (Ebenezer) Papers",oru_ax659.xml,80444/xv85519,2,5,2,9
"Nolen (Barbara) Papers",oru_ax771.xml,80444/xv90643,3,6,0,9
"Department of Biology records",oru_ua038.xml,80444/xv04324,0,5,4,9
"Cochran (John) bill of sale",oru_ca1865july1.xml,80444/xv85391,9,0,0,9
"College of Human Development and Performance records",oru_ua162.xml,80444/xv23330,0,5,4,9
"Appointment of James Blakely",oru_ca1856apr20.xml,80444/xv42288,9,0,0,9
"Moore (Robert) bond",oru_ca1844may8.xml,80444/xv87322,6,2,1,9
"Johnson (Maurice L.) political papers",oru_a274.xml,80444/xv23773,6,0,3,9
"Smith (Delazon) letters to William H. Smith of Rochester, NY",oru_a112.xml,80444/xv79025,6,0,3,9
"Oregon Voice records",oru_ua042.xml,80444/xv99670,9,0,0,9
"Parents and Friends of Gays and Lesbians (PFLAG) of Ashland, Oregon records",oru_coll418.xml,80444/xv07034,4,5,0,9
"Oregon University System (OUS) Academic Council records",oru_ua161.xml,80444/xv71972,0,5,4,9
"Chinnock (James Thornton) papers",oru_ax124.xml,80444/xv64111,3,2,4,9
"Gault (William C.) papers",oru_coll023.xml,80444/xv70565,4,4,1,9
"Hartshorn (Florence M.) photographs",oru_ph203_005.xml,80444/xv88589,2,4,3,9
"Jones (Holway R.) Papers",oru_coll226.xml,80444/xv64988,3,5,1,9
"Redman (Charles M.) letter to Hadley and Owens",oru_ca1862jan23.xml,80444/xv79788,3,2,4,9
"Office of the President: Donald Milton Erb records",oru_ua001_007.xml,80444/xv19711,2,2,5,9
"Department of Anthropology records",oru_ua032.xml,80444/xv57754,0,5,4,9
"Barry (Iris Thorpe) papers",oru_ax227.xml,80444/xv82629,0,6,3,9
"University Film Society records",oru_ua081.xml,80444/xv78283,0,5,4,9
"Condon (Miriam L.) papers",oru_a237.xml,80444/xv63479,0,1,8,9
"Nevin (Evelyn C.) Papers",oru_ax817.xml,80444/xv80727,2,2,5,9
"Mary Cleveland (Schooner) bill of lading",oru_ca1861oct7.xml,80444/xv02313,1,3,5,9
"Nighswander (Francis) papers",oru_a091.xml,80444/xv59514,6,2,1,9
"Hoyt (Vance) papers",oru_ax312.xml,80444/xv91995,2,6,1,9
